date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:44	2378/2378	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:16:51%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fdot%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed2974.json	(from http://video.sproutfund.org/dot/)
13:10:44	2450/2450	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:16:52%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fgas-rush-stories%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed9679.json	(from http://video.sproutfund.org/gas-rush-stories/)
13:10:44	2514/2514	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:42%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fdot%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed9456	(from http://video.sproutfund.org/dot/)
13:10:44	2586/2586	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:42%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fgas-rush-stories%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embeda560	(from http://video.sproutfund.org/gas-rush-stories/)
13:10:45	2462/2462	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:16:54%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fgranada-refrain-the%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed6043.json	(from http://video.sproutfund.org/granada-refrain-the/)
13:10:45	2443/2443	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:16:55%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fkill-the-artist%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed7b40.json	(from http://video.sproutfund.org/kill-the-artist/)
13:10:45	2598/2598	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:43%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fgranada-refrain-the%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embedcceb	(from http://video.sproutfund.org/granada-refrain-the/)
13:10:46	2579/2579	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:43%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fkill-the-artist%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed6cc2	(from http://video.sproutfund.org/kill-the-artist/)
13:10:46	2532/2532	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:16:56%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fmadame-presidenta-why-not-us%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed411b.json	(from http://video.sproutfund.org/madame-presidenta-why-not-us/)
13:10:46	2668/2668	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:44%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fmadame-presidenta-why-not-us%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed6054	(from http://video.sproutfund.org/madame-presidenta-why-not-us/)
