date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:55	2579/2579	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:53%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Frobert-qualters%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed7c66	(from http://video.sproutfund.org/robert-qualters/)
12:51:55	2553/2553	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:33%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Frock-salt-eating-the-neighborhood%2F	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embedad3f.json	(from http://video.sproutfund.org/rock-salt-eating-the-neighborhood/)
12:51:55	2414/2414	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:34%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fsteel-town%2F	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embedcef9.json	(from http://video.sproutfund.org/steel-town/)
12:51:56	2689/2689	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:53%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Frock-salt-eating-the-neighborhood%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embedab74	(from http://video.sproutfund.org/rock-salt-eating-the-neighborhood/)
12:51:56	2414/2414	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:35%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fstill-city%2F	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed5817.json	(from http://video.sproutfund.org/still-city/)
12:51:56	2550/2550	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:54%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fsteel-town%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed076c	(from http://video.sproutfund.org/steel-town/)
12:51:57	2460/2460	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:37%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Ftale-of-two-cities%2F	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed17a4.json	(from http://video.sproutfund.org/tale-of-two-cities/)
12:51:57	2550/2550	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:55%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fstill-city%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embedc385	(from http://video.sproutfund.org/still-city/)
12:51:57	2596/2596	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:55%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Ftale-of-two-cities%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embedd872	(from http://video.sproutfund.org/tale-of-two-cities/)
12:51:57	2432/2432	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:38%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Ftar-baby-jane%2F	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed24b5.json	(from http://video.sproutfund.org/tar-baby-jane/)
12:51:58	2568/2568	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:56%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Ftar-baby-jane%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed01da	(from http://video.sproutfund.org/tar-baby-jane/)
12:51:58	2436/2436	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:39%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fuptown-stories%2F	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embedb2af.json	(from http://video.sproutfund.org/uptown-stories/)
12:51:59	2571/2571	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:40%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fwhen-i-go-the-healing-power-of-music%2F	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embedbb45.json	(from http://video.sproutfund.org/when-i-go-the-healing-power-of-music/)
12:51:59	2572/2572	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:56%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fuptown-stories%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed5c88	(from http://video.sproutfund.org/uptown-stories/)
12:51:59	2707/2707	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:51:57%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fwhen-i-go-the-healing-power-of-music%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed4c98	(from http://video.sproutfund.org/when-i-go-the-healing-power-of-music/)
12:52:00	94400/94400	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:51:58%20GMT	http://video.sproutfund.org/browse/?orderby=title&order=asc	D:/Backup/WinHTTrack/filmandvideo/browse/indexdef9.html	(from http://video.sproutfund.org/browse/?orderby=title&order=desc)
12:52:01	94424/94424	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:51:58%20GMT	http://video.sproutfund.org/browse/?orderby=views&order=desc	D:/Backup/WinHTTrack/filmandvideo/browse/index69be.html	(from http://video.sproutfund.org/browse/?orderby=views&order=asc)
12:52:01	94424/94424	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:51:58%20GMT	http://video.sproutfund.org/browse/?orderby=likes&order=desc	D:/Backup/WinHTTrack/filmandvideo/browse/index99f9.html	(from http://video.sproutfund.org/browse/?orderby=likes&order=asc)
